project;model;run;process;status;cycle
shopizer;gemini;1;test_login;FAIL;10
shopizer;gemini;1;test_register;SUCCESS;2
shopizer;gemini;2;test_addtocart;FAIL;10
shopizer;gemini;2;test_checkout;FAIL;10
shopizer;gemini;2;test_filter;FAIL;10
shopizer;gemini;2;test_login;SUCCESS;7
shopizer;gemini;2;test_register;SUCCESS;2
shopizer;gemini;3;test_addtocart;SUCCESS;7
shopizer;gemini;3;test_checkout;FAIL;10
shopizer;gemini;3;test_filter;FAIL;10
shopizer;gemini;3;test_login;SUCCESS;6
shopizer;gemini;3;test_register;FAIL;10
shopizer;gemini;4;test_addtocart;SUCCESS;7
shopizer;gemini;4;test_checkout;FAIL;10
shopizer;gemini;4;test_filter;FAIL;10
shopizer;gemini;4;test_login;SUCCESS;6
shopizer;gemini;4;test_register;FAIL;10
shopizer;gemini;5;test_addtocart;FAIL;10
shopizer;gemini;5;test_checkout;FAIL;10
shopizer;gemini;5;test_filter;FAIL;10
shopizer;gemini;5;test_login;FAIL;10
shopizer;gemini;5;test_register;SUCCESS;2
prestashop;gemini;1;test_addtocart;SUCCESS;4
prestashop;gemini;1;test_filter;FAIL;10
prestashop;gemini;1;test_login;FAIL;10
prestashop;gemini;1;test_register;SUCCESS;4
prestashop;gemini;2;test_addtocart;SUCCESS;4
prestashop;gemini;2;test_filter;FAIL;10
prestashop;gemini;2;test_login;SUCCESS;2
prestashop;gemini;2;test_register;FAIL;10
prestashop;gemini;3;test_addtocart;SUCCESS;4
prestashop;gemini;3;test_filter;SUCCESS;6
prestashop;gemini;3;test_login;SUCCESS;2
prestashop;gemini;3;test_register;FAIL;10
prestashop;gemini;5;test_addtocart;SUCCESS;2
prestashop;gemini;5;test_filter;FAIL;10
prestashop;gemini;5;test_login;FAIL;10
prestashop;gemini;5;test_register;FAIL;10
prestashop;gemini;4;test_addtocart;SUCCESS;1
prestashop;gemini;4;test_filter;FAIL;10
prestashop;gemini;4;test_login;SUCCESS;2
prestashop;gemini;4;test_register;SUCCESS;2
nopCommerce;gemini;1;test_addtocart;SUCCESS;4
nopCommerce;gemini;1;test_checkout;SUCCESS;2
nopCommerce;gemini;1;test_filter;SUCCESS;1
nopCommerce;gemini;1;test_login;SUCCESS;2
nopCommerce;gemini;1;test_register;FAIL;10
nopCommerce;gemini;2;test_addtocart;SUCCESS;2
nopCommerce;gemini;2;test_checkout;FAIL;10
nopCommerce;gemini;2;test_filter;SUCCESS;1
nopCommerce;gemini;2;test_login;SUCCESS;1
nopCommerce;gemini;2;test_register;FAIL;10
nopCommerce;gemini;3;test_addtocart;SUCCESS;3
nopCommerce;gemini;3;test_checkout;FAIL;10
nopCommerce;gemini;3;test_filter;SUCCESS;2
nopCommerce;gemini;3;test_login;SUCCESS;1
nopCommerce;gemini;3;test_register;FAIL;10
nopCommerce;gemini;4;test_addtocart;SUCCESS;2
nopCommerce;gemini;4;test_checkout;FAIL;10
nopCommerce;gemini;4;test_filter;FAIL;10
nopCommerce;gemini;4;test_login;SUCCESS;5
nopCommerce;gemini;4;test_register;SUCCESS;1
nopCommerce;gemini;5;test_addtocart;SUCCESS;2
nopCommerce;gemini;5;test_checkout;FAIL;10
nopCommerce;gemini;5;test_filter;SUCCESS;1
nopCommerce;gemini;5;test_login;SUCCESS;1
nopCommerce;gemini;5;test_register;FAIL;10
medusa;gemini;1;test_addtocart;FAIL;10
medusa;gemini;1;test_checkout;FAIL;10
medusa;gemini;1;test_login;SUCCESS;1
medusa;gemini;1;test_register;FAIL;10
medusa;gemini;2;test_addtocart;SUCCESS;5
medusa;gemini;2;test_checkout;FAIL;10
medusa;gemini;2;test_login;SUCCESS;1
medusa;gemini;2;test_register;SUCCESS;1
medusa;gemini;3;test_addtocart;FAIL;10
medusa;gemini;3;test_checkout;FAIL;10
medusa;gemini;3;test_login;SUCCESS;1
medusa;gemini;3;test_register;SUCCESS;1
medusa;gemini;4;test_addtocart;FAIL;10
medusa;gemini;4;test_checkout;FAIL;10
medusa;gemini;4;test_login;SUCCESS;1
medusa;gemini;4;test_register;SUCCESS;1
medusa;gemini;5;test_addtocart;FAIL;10
medusa;gemini;5;test_checkout;FAIL;10
medusa;gemini;5;test_login;SUCCESS;1
medusa;gemini;5;test_register;SUCCESS;1
